Feature,LIME_Weight
NUM_DELAYED_PAYMENTS <= 0.00,-0.10883490972412439
-1.00 < PAY_0 <= 0.00,-0.09884856154037398
LIMIT_BAL <= 50000.00,0.035329449563666675
21447.00 < BILL_AMT1 <= 67661.00,-0.02749676044124112
BILL_AMT4 <= 2189.00,-0.02298334619441857
0.03 < CREDIT_UTILIZATION <= 0.27,-0.02122530026897205
TOTAL_PAYMENT <= 6584.00,0.019326043271979253
0.04 < PAYMENT_TO_BILL_RATIO <= 0.09,0.01874941697436375
BILL_AMT5 <= 1757.00,0.017111825831090777
1.00 < MARRIAGE <= 2.00,-0.01590767059557846
