Model,Accuracy,Precision,Recall,F1,ROC-AUC
Original,0.7912564658768564,0.5279642058165548,0.5339366515837104,0.530933633295838,0.7768578100917808
Demographic Reduced,0.7940931086267312,0.5342771982116244,0.5407239819004525,0.5374812593703149,0.7763942847004142
