Predicted_Default_Rate,TPR,FPR,Precision,Model,Attribute,Group
0.20677410543567332,0.5376486129458389,0.12052341597796143,0.5376486129458389,Original,SEX,2
0.2504288164665523,0.5289982425307557,0.1605218377765173,0.5154109589041096,Original,SEX,1
0.22155963302752293,0.5158102766798419,0.13261648745519714,0.5403726708074534,Original,AGE_GROUP,36-50
0.19626168224299065,0.497029702970297,0.12263693650024236,0.498015873015873,Original,AGE_GROUP,26-35
0.29161290322580646,0.6296296296296297,0.1825938566552901,0.5265486725663717,Original,AGE_GROUP,18-25
0.2723404255319149,0.6111111111111112,0.14825581395348839,0.6015625,Original,AGE_GROUP,51+
0.21032504780114722,0.5495376486129459,0.12190082644628099,0.5402597402597402,Demographic Reduced,SEX,2
0.24528301886792453,0.5289982425307557,0.1537152580828134,0.5262237762237763,Demographic Reduced,SEX,1
0.21880733944954128,0.5197628458498024,0.12783751493428913,0.5513626834381551,Demographic Reduced,AGE_GROUP,36-50
0.19937694704049844,0.504950495049505,0.1245758603974794,0.498046875,Demographic Reduced,AGE_GROUP,26-35
0.2967741935483871,0.6402116402116402,0.18600682593856654,0.5260869565217391,Demographic Reduced,AGE_GROUP,18-25
0.26170212765957446,0.6190476190476191,0.1308139534883721,0.6341463414634146,Demographic Reduced,AGE_GROUP,51+
